datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations,source,name
01-01-2020,20,14,16.8,20,14,16.8,14.5,86.7,11.7,100,87.5,rain,0,0,30.6,13,58.6,1017.7,62.3,1.9,68.9,5.9,3,06:50:53,17:42:59,0.19,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
02-01-2020,18,14,16.3,18,14,16.3,15,92.4,36.6,100,62.5,rain,0,0,42.1,14.8,53.9,1018.6,58.9,1.9,80.9,6.9,4,06:51:13,17:43:36,0.23,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
03-01-2020,23,16,18.5,23,16,18.5,15.9,85.4,0,0,0,,0,0,16.9,9.4,61.5,1017,50.6,2,128.3,11.1,5,06:51:31,17:44:14,0.25,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
04-01-2020,22,15,18.1,22,15,18.1,15.9,87.7,0.3,100,12.5,rain,0,0,19.8,11.2,60.2,1015.8,44.6,2,130.9,11.3,6,06:51:48,17:44:52,0.29,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
05-01-2020,23,13.5,17.6,23,13.5,17.6,10.7,66.1,0,0,0,,0,0,28.8,14.8,27.6,1017.6,2.2,3.1,203.6,17.7,8,06:52:04,17:45:31,0.32,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
06-01-2020,23,9,16.8,23,9,16.8,10,66.6,0,0,0,,0,0,24.8,13,66.6,1019,2.1,3.9,204.4,17.6,7,06:52:19,17:46:10,0.35,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
07-01-2020,24,13,18.8,24,13,18.8,12.3,67.7,0,0,0,,0,0,15.1,5.4,55.1,1016.7,43.5,3,164.1,14.1,6,06:52:32,17:46:50,0.39,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
08-01-2020,20,17,18.3,20,17,18.3,16.2,88,15.5,100,58.33,rain,0,0,31.7,7.6,41.5,1014.3,54.4,1.8,63,5.5,3,06:52:45,17:47:30,0.42,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
09-01-2020,24,16,19.5,24,16,19.5,14.8,76,0.2,100,8.33,rain,0,0,27.7,13,21.4,1016.1,26.7,2.1,175,15,6,06:52:56,17:48:10,0.45,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
10-01-2020,23,11,16,23,11,16,7.2,57.3,0,0,0,,0,0,25.9,11.2,43.2,1018.4,0,3.5,212.3,18.3,8,06:53:05,17:48:50,0.48,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
11-01-2020,23,7,15,23,7,15,6.6,59.9,0,0,0,,0,0,20.2,11.2,49.1,1019,0,3.5,214.9,18.5,8,06:53:14,17:49:31,0.5,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
12-01-2020,25.2,9,16.4,25.2,9,16.3,6.6,58.4,0,0,0,,0,0,16.2,7.6,34.9,1016.9,0,3.6,212.5,18.4,8,06:53:21,17:50:11,0.55,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
13-01-2020,28.1,10,18.1,26.7,10,17.9,7,55.7,0,0,0,,0,0,16.6,7.6,106.2,1013.9,0,4.3,212.6,18.3,8,06:53:27,17:50:52,0.59,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
14-01-2020,27,11,19.1,26.7,11,19,10.6,61.5,0,0,0,,0,0,15.5,7.6,91.3,1013.8,0,3.3,206,17.9,8,06:53:31,17:51:33,0.62,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
15-01-2020,27,12,19.9,27.5,12,19.9,14.7,73.7,0,0,0,,0,0,23,9.4,95.7,1014.5,20.2,3,194.7,16.7,7,06:53:34,17:52:14,0.66,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
16-01-2020,26,15,20.6,26,15,20.6,14.8,71.4,0,0,0,,0,0,31,16.6,171.8,1013.8,13.3,3,178.4,15.2,7,06:53:36,17:52:55,0.69,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
17-01-2020,25,17,21,25,17,21,15.4,70.8,0,0,0,,0,0,18,11.2,3.5,1015,42.2,2.9,153.1,13.2,5,06:53:37,17:53:36,0.75,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
18-01-2020,25,17,20.5,25,17,20.5,16.4,78.1,0.2,100,8.33,rain,0,0,23,11.2,44.6,1015.5,40.2,2.7,147.9,12.8,6,06:53:36,17:54:17,0.76,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
19-01-2020,23,16,19.1,23,16,19.1,15.6,80.6,0.1,100,4.17,rain,0,0,28.1,14.8,39.5,1016.7,40,2.2,141.9,12.2,5,06:53:34,17:54:57,0.8,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
20-01-2020,21,14,17.3,21,14,17.3,11.3,68.4,0,0,0,,0,0,23,9.4,41.7,1017.6,46.9,2.8,197.8,17,7,06:53:30,17:55:38,0.84,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
21-01-2020,27,14,20.2,27.9,14,20.3,16,77.9,0,0,0,,0,0,23.8,7.6,88,1017.8,16.4,2.5,198.3,17,8,06:53:25,17:56:19,0.87,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
22-01-2020,28,17,22.3,28.9,17,22.5,17.9,78.5,0.2,100,8.33,rain,0,0,23.4,9.4,168.3,1018,19.3,2.6,175.1,15.1,7,06:53:19,17:56:59,0.91,Rain,Clear conditions througho...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
23-01-2020,26,19,21.9,26,19,21.9,17.1,75.4,0.6,100,16.67,rain,0,0,23,11.2,57.9,1017.5,17,2.1,153.8,13.2,6,06:53:12,17:57:39,0.94,Rain,Clear conditions througho...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
24-01-2020,26,16,20.3,26,16,20.3,10.8,55.4,0,0,0,,0,0,18,9.4,60.1,1017.2,9.1,3.7,205.7,17.8,8,06:53:03,17:58:19,0.98,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
25-01-2020,29,15,21.3,28.4,15,21.2,14,66.2,0,0,0,,0,0,19.4,7.6,83.4,1016,27.1,3.5,212.6,18.3,8,06:52:53,17:58:59,0,Partially cloudy,Becoming cloudy in the af...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
26-01-2020,28,14,20.9,27.3,14,20.8,11.2,56.9,0,0,0,,0,0,19.4,9.4,37.8,1014.9,6.8,4.3,217.6,18.8,8,06:52:41,17:59:38,0.04,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
27-01-2020,30,14,21.3,28.7,14,21.1,11.9,58.4,0.5,100,12.5,rain,0,0,21.6,7.6,104.1,1012.9,16.3,4,215.6,18.6,8,06:52:28,18:00:17,0.08,Rain,Clear conditions througho...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
28-01-2020,29,18,22.6,28.6,18,22.6,14.3,62.7,0.5,100,16.67,rain,0,0,37.1,22.3,235.5,1011.8,32.6,3.8,195.5,16.9,7,06:52:14,18:00:56,0.11,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
29-01-2020,27,17,21.8,27,17,21.8,12.8,57.9,0,0,0,,0,0,24.8,11.2,3.2,1015.3,36.2,3.9,154,13.2,7,06:51:59,18:01:35,0.14,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
30-01-2020,26,15,20.3,26,15,20.3,9.3,51.3,0,0,0,,0,0,26.6,16.6,13.2,1016.2,11.3,3.9,221.3,19.2,8,06:51:42,18:02:13,0.17,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
31-01-2020,24,14,18.3,24,14,18.3,7.9,51.8,0,0,0,,0,0,27.4,11.2,59.5,1015.3,0,4.3,226.2,19.8,8,06:51:24,18:02:51,0.21,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
01-02-2020,23,14.1,18.7,23,14.1,18.7,9.1,54.8,0.2,100,4.17,rain,0,0,25.2,14.8,52.7,1016.3,44.8,3.5,154.2,13.3,6,06:51:05,18:03:28,0.24,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
02-02-2020,25,14.6,19.4,25,14.6,19.4,8.7,50.5,0,0,0,,0,0,29.5,12.9,55.6,1018.4,39.7,4.2,191.6,16.5,7,06:50:45,18:04:05,0.25,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
03-02-2020,22,16,18.4,22,16,18.4,11.7,65.4,0.4,100,16.67,rain,0,0,30.2,14.8,58.4,1017.6,51.6,3.1,143.5,12.5,5,06:50:23,18:04:42,0.3,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
04-02-2020,27,17,20.8,27.9,17,20.8,16.3,75.9,4.5,100,50,rain,0,0,29.2,14.8,76,1014.6,42.6,2.5,126.4,10.7,5,06:50:00,18:05:18,0.34,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
05-02-2020,25,18,20.5,25,18,20.5,15.3,74.2,0,0,0,,0,0,25.2,11.2,73.4,1015.8,40.5,2.3,155,13.4,6,06:49:36,18:05:54,0.37,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
06-02-2020,23,15,19.1,23,15,19.1,15.2,78.5,4.1,100,41.67,rain,0,0,29.2,13,61.3,1014.8,46.3,2.6,158.4,13.7,7,06:49:10,18:06:29,0.4,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
07-02-2020,21,16,18.1,21,16,18.1,16.6,91.3,7.2,100,54.17,rain,0,0,23.4,11.2,57.2,1015.5,65.4,1.9,126.3,11,5,06:48:44,18:07:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
08-02-2020,23,16.8,19.1,23,16.8,19.1,14.6,77.1,0.2,100,8.33,rain,0,0,34.2,13,49.8,1018.2,39.8,2.5,131.7,11.4,5,06:48:16,18:07:38,0.47,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
09-02-2020,23,14,17.9,23,14,17.9,11,64.5,0,0,0,,0,0,33.1,16.6,53.8,1019.8,7.7,2.8,237.5,20.5,8,06:47:47,18:08:12,0.5,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
10-02-2020,25,12,18.6,25,12,18.6,9.9,58.7,0,0,0,,0,0,24.5,7.6,55.3,1018.6,1.1,3.4,233,20.3,8,06:47:17,18:08:45,0.53,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
11-02-2020,27,14,20.5,26.8,14,20.5,11.3,57.2,0,0,0,,0,0,22,9.4,66.4,1018.5,3.4,3.3,229.9,20,8,06:46:46,18:09:18,0.57,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
12-02-2020,29,14,21.3,27.9,14,21.2,12,58.4,0,0,0,,0,0,22,7.5,42.4,1019.2,0,3.3,238.4,20.5,8,06:46:14,18:09:51,0.6,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
13-02-2020,31,14,22.1,29.3,14,21.8,11.1,54.6,0,0,0,,0,0,17.6,7.6,2.9,1017.5,0,3.9,243.6,21.2,9,06:45:41,18:10:23,0.64,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
14-02-2020,31,14.1,23.1,29.4,14.1,22.8,10.3,47.8,0,0,0,,0,0,23.4,18.3,335.3,1014.5,0,5,243.7,21.2,8,06:45:07,18:10:54,0.67,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
15-02-2020,31.6,16,22.6,30.4,16,22.4,11.3,51,0,0,0,,0,0,19.4,7.6,51.3,1014.8,0,4.5,245.6,21.2,9,06:44:32,18:11:25,0.71,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
16-02-2020,29,15,22,27.8,15,21.8,9.6,48.1,0,0,0,,0,0,22.7,13,50.4,1016.6,0,5.3,246.5,21.3,9,06:43:56,18:11:55,0.75,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
17-02-2020,30,15,22.2,28.2,15,21.7,6.2,39.7,0,0,0,,0,0,24.8,9.4,42.9,1017.6,0,5.5,253.8,22,9,06:43:19,18:12:25,0.78,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
18-02-2020,30,16,22.1,28.1,16,21.7,4.5,34.9,0,0,0,,0,0,21.2,11.2,56.5,1016.4,3.3,5.9,258.3,22.3,9,06:42:40,18:12:55,0.81,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
19-02-2020,32,13,22,29.8,13,21.5,7.8,44.1,0,0,0,,0,0,21.2,9.4,86.8,1015.3,9.4,5.6,253.1,22,9,06:42:01,18:13:24,0.85,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
20-02-2020,31,14,22.8,31,14,23,14.8,62,0,0,0,,0,0,24.5,14.8,137.8,1015,10.2,4.8,240.5,20.8,9,06:41:22,18:13:52,0.88,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
21-02-2020,30,19,23.9,30,19,24.1,17.3,68.5,0,0,0,,0,0,39.6,14.8,176.2,1016.8,27.2,3.1,213,18.4,8,06:40:41,18:14:20,0.92,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
22-02-2020,31,19,24.7,30.6,19,24.7,16.3,62.5,0,0,0,,0,0,24.5,11.1,165.7,1017.5,14.2,3.8,210.9,18.3,8,06:39:59,18:14:48,0.95,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
23-02-2020,31,18,25.3,30.6,18,25.2,16,59.1,0.1,100,4.17,rain,0,0,28.8,13,177.7,1015.7,6.8,4.2,235.4,20.4,8,06:39:17,18:15:15,0,Rain,Clear conditions througho...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
24-02-2020,31,20,25,30.6,20,25,16.6,61.6,0.6,100,12.5,rain,0,0,34.9,14.7,140.7,1013,30.7,3.7,218.1,18.8,8,06:38:34,18:15:42,0.02,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
25-02-2020,28,19,23.2,27.2,19,23,11.5,50.9,0,0,0,,0,0,23,11.2,5.2,1013.5,21.2,3.2,253.9,21.9,9,06:37:50,18:16:08,0.05,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
26-02-2020,29,15,21.9,27.4,15,21.5,7,41.7,0,0,0,,0,0,22.7,9.4,44.9,1015.3,0,4.4,263,22.7,9,06:37:05,18:16:34,0.09,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
27-02-2020,29,15,22.3,27.8,15,22,9.9,48.3,0,0,0,,0,0,20.2,8.6,80.8,1015.3,6.6,4.1,258.2,22.3,9,06:36:19,18:16:59,0.12,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
28-02-2020,30,14,22.9,28.6,14,22.6,10.7,49.2,0,0,0,,0,0,25.6,9.4,89.7,1013.8,0,4,261,22.5,9,06:35:33,18:17:24,0.15,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
29-02-2020,32,15,24.1,30.4,15,23.7,11.6,49.1,0,0,0,,0,0,28.1,13,101.1,1012.8,4.5,4.4,253.3,21.8,9,06:34:47,18:17:48,0.19,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
01-03-2020,32.2,17.1,24.1,31.8,17.1,23.9,14,55.7,0.3,100,12.5,rain,0,0,23.4,27.7,102.9,1012.7,22.6,4.4,256,22,9,06:33:59,18:18:12,0.22,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"VANP,42867099999",obs,"Nagpur, MH, India"
02-03-2020,32,19,25.2,31,19,25,14.4,54,0.3,100,4.17,rain,0,0,28.8,12.9,120.8,1012.9,32.5,4.2,222.3,19,9,06:33:11,18:18:36,0.25,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
03-03-2020,33,19,26,31.4,19,25.8,13.5,49.7,0,0,0,,0,0,25.2,29.4,243.6,1011.1,22.1,3.8,223.5,19.3,8,06:32:23,18:18:59,0.25,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
04-03-2020,34,16,25.3,31.5,16,24.6,8.5,38.8,0,0,0,,0,0,26.3,22.3,267.4,1010.4,15,4.2,262.1,22.4,9,06:31:33,18:19:22,0.32,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
05-03-2020,32,18,25.2,30.1,18,24.6,9,38.1,0,0,0,,0,0,19.1,13,298.8,1010.1,10.6,4.8,251.6,21.7,9,06:30:44,18:19:45,0.35,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
06-03-2020,33,17,24.6,33.5,17,24.6,13.1,51,0.1,100,4.17,rain,0,0,39.6,22.3,227.2,1009.3,31.3,3.8,233.8,20.3,8,06:29:53,18:20:07,0.39,"Rain, Partially cloudy",Clearing in the afternoon...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
07-03-2020,31,17,24.7,29.8,17,24.4,12.8,50.7,0,0,0,,0,0,25.9,11.2,305.3,1013,25.7,4.2,242.4,20.8,8,06:29:03,18:20:29,0.42,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
08-03-2020,31,20,25.6,30.1,20,25.4,13.5,48.6,0,0,0,,0,0,29.9,11.2,53.8,1014,20.1,4,245.1,21,9,06:28:12,18:20:51,0.45,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
09-03-2020,30,21,25.5,30,21,25.5,13.9,49.1,0.2,100,8.33,rain,0,0,30.2,14.8,53,1012.9,45.2,4.2,229.9,19.8,8,06:27:20,18:21:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
10-03-2020,32,21,25.1,33.5,21,25.7,19.3,71.5,1.8,100,37.5,rain,0,0,39.6,14.8,68.7,1011.4,49.4,3,205.8,17.9,8,06:26:28,18:21:33,0.52,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
11-03-2020,33,20,25.5,32.9,20,25.7,16.6,59.7,1.4,100,25,rain,0,0,27.4,14.8,168.6,1011,41.6,3.9,231.2,19.9,8,06:25:36,18:21:54,0.55,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
12-03-2020,32,21,27,32.4,21,27.2,16.4,53.3,0,0,0,,0,0,22.7,9.4,52.1,1013,42.5,4,247.7,21.3,8,06:24:43,18:22:14,0.59,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
13-03-2020,31.3,22,26.6,32.8,22,27.3,19.5,66.5,0.2,100,8.33,rain,0,0,32,13,229,1013.1,36.3,4.2,221.1,19,8,06:23:50,18:22:35,0.62,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
14-03-2020,30.7,22,25.6,32.2,22,25.9,17.4,61.4,0,0,0,,0,0,24.1,11.2,66.5,1012.9,43.4,4.8,242.3,21,9,06:22:57,18:22:55,0.65,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
15-03-2020,32,19,25.7,30.4,19,25.2,11.6,43.2,0,0,0,,0,0,32,13,20,1014,16.4,4.8,269.6,23.4,9,06:22:04,18:23:15,0.69,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
16-03-2020,33,20,26.3,32.6,20,26.3,13.3,45.5,0,0,0,,0,0,25.9,11.2,30.8,1014.8,20.8,4.3,269.9,23.3,9,06:21:10,18:23:34,0.75,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
17-03-2020,34,19.3,27.4,34.1,19.3,27.4,14.5,46.9,0.2,100,8.33,rain,0,0,24.1,14.8,35.1,1015.1,22.7,4.8,246.9,21.3,9,06:20:16,18:23:54,0.76,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
18-03-2020,30,20,24.5,31.3,20,24.8,18.8,71.8,2.4,100,29.17,rain,0,0,33.1,27.7,78.4,1015,45,3.5,223,19.4,7,06:19:22,18:24:13,0.79,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
19-03-2020,35,21,26.9,34.7,21,26.7,16.3,57.8,0,0,0,,0,0,40,16.6,197.5,1012.1,39.7,4.4,267.6,23.1,9,06:18:27,18:24:32,0.83,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
20-03-2020,33,20,26.1,33,20,26.2,16.3,57.1,0.5,100,12.5,rain,0,0,33.8,11.2,79.7,1012.1,38.7,4.3,244.2,21.1,8,06:17:33,18:24:51,0.86,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
21-03-2020,33,21,26.4,32,21,26.3,15.1,52.3,0,0,0,,0,0,24.5,9.4,102.7,1011.8,11.3,4.7,281.4,24.3,10,06:16:38,18:25:10,0.89,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
22-03-2020,34,18,26.9,31.9,18,26.2,10.6,39.5,0,0,0,,0,0,22.3,7.6,28.1,1012.6,10.2,4.8,287.9,24.8,10,06:15:44,18:25:29,0.93,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
23-03-2020,35,17.8,27.2,33.1,17.8,26.6,11.7,41.2,0,0,0,,0,0,23.4,9.3,106.1,1012,19.8,4.5,259.8,22.5,9,06:14:49,18:25:47,0.96,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
24-03-2020,35,19,27.6,34.7,19,27.5,14.9,48.6,0.6,100,4.17,rain,0,0,27,9.4,158.3,1011,35.2,4.2,264.2,22.9,9,06:13:54,18:26:06,0,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
25-03-2020,36,20,27.8,35.4,20,27.5,15.7,51.4,0.3,100,4.17,rain,0,0,40.7,24.1,20.8,1011.2,20.1,4.4,255.2,22.1,9,06:13:00,18:26:24,0.03,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
26-03-2020,33.5,20,24.3,35.1,20,24.6,19.7,77.8,0.3,100,12.5,rain,0,0,27.7,18.4,347.5,1013,50.1,2.9,241.9,20.9,9,06:12:05,18:26:43,0.06,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
27-03-2020,35,21,28.5,36.3,21,29.2,18.9,59.7,0,0,0,,0,0,28.8,14.8,241.8,1012.8,24.1,3.7,243.1,21.1,8,06:11:10,18:27:01,0.1,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
28-03-2020,34,24,28.6,35.1,24,29.4,18.6,56.2,0,0,0,,0,0,25.6,9.4,22.7,1012.8,22.2,4.1,246.4,21.2,9,06:10:16,18:27:20,0.13,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
29-03-2020,35,21,27.3,35.2,21,27.2,17.9,62.1,1.3,100,16.67,rain,0,0,55.4,27.6,8.4,1011.9,40.4,3.8,270.6,23.3,10,06:09:21,18:27:38,0.17,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
30-03-2020,35,21,26.7,34.1,21,26.9,17.8,62.1,0.5,100,4.17,rain,0,0,20.2,18.4,203.1,1012.6,42.8,4,274.8,23.7,9,06:08:27,18:27:56,0.2,"Rain, Partially cloudy",Partly cloudy throughout ...,rain,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
31-03-2020,36,23,29.1,36.8,23,29.1,16.2,48.5,0,0,0,,0,0,46.4,27.7,229.7,1012.3,43.5,4.7,274.8,23.8,9,06:07:33,18:28:15,0.23,Partially cloudy,Partly cloudy throughout ...,partly-cloudy-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
01-04-2020,37,21,29.5,36.5,21,29,14.5,44.2,0,0,0,,0,0,27.4,12.9,226,1011.2,16,4.9,281.8,24.3,9,06:06:39,18:28:33,0.25,Clear,Clear conditions througho...,clear-day,"42939099999,VANP,42867099...",obs,"Nagpur, MH, India"
